coenti;damesano;plajustado;margem;pl;AjustesContabeis;AjustesEconomicos;NovoPla;CMR
06211;201007;96436946,25;0;96647434,12;-210487,870000005;0;0;0
06220;201007;198155629,97;0;272841664,25;-74686034,28;0;0;0
06351;201007;323385590,21;0;365042219,33;-41656629,12;0;0;0
09938;201007;185147910,9;0;186667045,89;-1519134,98999998;0;0;0
10031;201007;0;0;0;0;0;0;0
10081;201007;-156056,48;0;-156056,48;0;0;0;0
11096;201007;0;0;0;0;0;0;0
25585;201007;289642075,19;0;290635253,8;-993178,610000014;0;0;0
38253;201007;0;0;0;0;0;0;0
01007;201008;36425428,91;0;36425428,91;0;0;0;0
02062;201008;59267841,35;0;72968635,5;-13700794,15;0;0;0
04618;201008;265606370,14;0;272449270,47;-6842900,33000004;0;0;0
05495;201008;129482788,14;0;146383391,33;-16900603,19;0;0;0
05843;201008;255301634,13;0;257419983,09;-2118348,96000001;0;0;0
06033;201008;157386058,48;0;157460850,65;-74792,1700000167;0;0;0
06041;201008;807185478,68;0;2557278539,45;-1750093060,77;0;0;0
10103;201008;0;0;0;0;0;0;0
10898;201008;0;0;0;0;0;0;0
25585;201008;300220440,68;0;301469989,05;-1249548,37;0;0;0
37729;201008;0;0;0;0;0;0;0
03271;201009;18903036,7;0;18959034,44;-55997,7400000021;0;0;0
04707;201009;549314029,37;0;549501225,08;-187195,710000038;0;0;0
05282;201009;98075944,04;0;124247121,38;-26171177,34;0;0;0
05819;201009;26400763,92;0;26942750,07;-541986,149999999;0;0;0
05843;201009;255775929,01;0;257753111,34;-1977182,33000001;0;0;0
06564;201009;161000852,72;0;161000852,72;0;0;0;0
06696;201009;22214596,87;0;22239596,9;-25000,0299999975;0;0;0
06947;201009;140215020,22;0;262362072,05;-122147051,83;0;0;0
06955;201009;208468708,7;0;819732222,39;-611263513,69;0;0;0
06998;201009;17090854,96;0;23280966,75;-6190111,79;0;0;0
10898;201009;0;0;0;0;0;0;0
28258;201009;16727008,69;0;18333893,53;-1606884,84;0;0;0
02461;201010;23959347,62;0;23962803,53;-3455,91000000015;0;0;0
03271;201010;18960711,55;0;19105984,53;-145272,98;0;0;0
03794;201010;13923493,59;0;13923493,59;0;0;0;0
26026;201101;260535091,74;0;267836254,85;-7301163,10999998;0;0;0
01619;201102;19702719,05;0;19716083,37;-13364,3200000003;0;0;0
04251;201102;595412275,83;0;692604393,06;-97192117,2299999;0;0;0
05011;201102;317186430,49;0;337033925,14;-19847494,65;0;0;0
05045;201102;98221790,86;0;172703411,83;-74481620,97;0;0;0
05053;201102;34436480,14;0;69030155,72;-34593675,58;0;0;0
05282;201102;123076780,71;0;149109117,2;-26032336,49;0;0;0
05312;201102;1171776879,73;0;1792710979,01;-620934099,28;0;0;0
05631;201102;1759239057,93;0;2645631981,42;-886392923,49;0;0;0
05754;201102;57597205,35;0;57803876,59;-206671,240000002;0;0;0
06017;201102;8740230,59;0;8909320,65;-169090,060000001;0;0;0
06173;201102;17442970,53;0;17632938,01;-189967,48;0;0;0
06238;201102;655473781,79;0;1379423128,65;-723949346,86;0;0;0
08141;201102;408331263,58;0;425800815,38;-17469551,8;0;0;0
11029;201102;4450965,37;0;5759976,36;-1309010,99;0;0;0
23566;201102;319555532,23;0;370316323,3;-50760791,07;0;0;0
37729;201102;155430868,82;0;156623968,43;-1193099,61000001;0;0;0
38253;201102;83172572,47;0;83239928,83;-67356,3599999994;0;0;0
01147;201103;5419542,97;0;5697597,84;-278054,87;0;0;0
01619;201103;19829591,2;0;19842862,01;-13270,8100000024;0;0;0
04359;201103;17193865,99;0;17304282,81;-110416,82;0;0;0
05193;201103;3128438,85;0;42808389,71;-39679950,86;0;0;0
05665;201103;179665600,01;0;188514009,1;-8848409,09;0;0;0
05720;201103;223419233,71;0;365054292,42;-141635058,71;0;0;0
05754;201103;56544516,48;0;57546376,3;-1001859,82;0;0;0
06106;201103;1018381139,65;0;1936481463,02;-918100323,37;0;0;0
20281;201103;104826,14;0;285520,96;-180694,82;0;0;0
23566;201103;354285439,93;0;405298642,67;-51013202,74;0;0;0
28932;201103;92212733,16;0;233885912,99;-141673179,83;0;0;0
02763;201104;14962182,87;0;18941180,14;-3978997,27;0;0;0
03328;201104;40694113,83;0;41161874,5;-467760,670000002;0;0;0
05282;201104;120089912,21;0;147062025,44;-26972113,23;0;0;0
05444;201104;1256963952,69017;0;12410916409,65;-11153952456,9598;0;0;0
05631;201104;1751007946,86;0;2574195093,09;-823187146,23;0;0;0
05657;201104;6408580,63;0;6570595,4;-162014,77;0;0;0
06360;201104;14785873,23;0;14796071,28;-10198,0499999989;0;0;0
06530;201104;62667757,68;0;98824742,19;-36156984,51;0;0;0
06548;201104;133708869,17;0;187548473,96;-53839604,79;0;0;0
